Mongolian,English
Борлуулалтын орлого (цэвэр),Revenue/sales
Борлуулалтын өртөг,COGS
Нийт ашиг ( алдагдал),Gross profit
Түрээсийн орлого,Rent income
Хүүний орлого,Interest income
Ногдол ашгийн орлого,Dividend income
Бусад орлого,Other income
"Борлуулалт, маркетингийн зардал","Sales, marketing expense"
Ерөнхий ба удирдлагын зардал,"General, admin expense"
Санхүүгийн зардал,Finance expense
Бусад зардал,Other expense
Гадаад валютын ханшийн зөрүүний  олз (гарз),Currency exchange gain/loss
Үндсэн хөрөнгө данснаас хассаны олз (гарз),Sales of long term assets gain/ loss
Биет бус хөрөнгө данснаас хассаны олз (гарз),Sales of non-current assets gain / loss
Хөрөнгө оруулалт борлуулснаас үүссэн  олз (гарз),Investment gain/ loss
Татвар төлөхийн өмнөх  ашиг (алдагдал),EBT
Орлогын татварын зардал,Income tax
Тайлант үеийн цэвэр ашиг ( алдагдал),Net income
